proj_unixname	description
devilsdance	devilsdance is a highly-modular cms solution, running on every *AMP machine ( apache, mysql, php 4.x ). its features are : 100% modularity, absolutely extendable, simple api, own template engine, and any page you need is set up very quickly with it.
devilsprey	DevilsPrey is a 2D topdown LAN/Internet deathmatch game for Linux/Win32. Using 3d acceleration for smooth and fast graphics. Focus is on a fast and fun gameplay
devilvbactivex	This is a Visual Basic ActiveX Control that interfaces with the DevIL Graphics Dll&#039;s.  The purpose of this program is to provide a program that shows how to use the DevIL DLL&#039;s and to make a ActiveX Control with VB that has lots of functions su
devim	This is a command-line based chat program. It can be run on all versions of Windows and most versions of linux. You can run the entire program from Command Prompt. It offers an easy and quick way to chat to another person on a network or the internet pri
devio	devio: correctly read (or write) a region of a block device.  A command line program to read correctly from mtd character (and other block) devices.  devio allows access to specific regions of the device and allows output of data from specific locations.
deviosgames	Devios Games Development aims to create great games for Windows, then show you how to make them yourself with Clickteam Software!
devious	Devious is a multi-platform client for the DeviantART community website.  Your deviations can be uploaded in batch or individually, without the hassle of the in-browser interface!
devisa	Decision Tree Visualizer and Annotator Web Tool
devkitadv	Software Development Kit for the Nintendo(tm) Gameboy Advance(tm) based on GCC.
devlb	Dev-LB is a free IDE for the Liberty BASIC compiler.
devlib	DevLib is a framework designed to make multimedia productions (games, screen-savers, demos..) easier and more intuitive to write, abstracting developer from OpenGL and DirectX 3D-APIs.
devlix	DevLix, Developer&#039;s Linux, is a new distribution aimed entirely towards developers. Security, stability, ease of use for developers,and a brand new packaging system combining the strength of rpm and ports are combined features that only a few distri
devmap	DevMap is a simple PHP &amp; MySQL web-based software system to outline the roadmap for software development projects.
devmaster	Space Unlimted will be a Quake III-style space shooter, throwing the player into arenas, fighting in a tournament for his/her live, money and the chance to become the most famous arena fighter of all times.
devmc12	a new userinterface for developing software for microcontroller MC68HCS12, to be a option for all students that don&#039;t run windows, or got tired of all bugs in the software our school is telling us to use.
devmetrics	devMetrics: a software management tool that gathers and reports metrics for .NET C#.  An SDK allows for custom metrics and reports.
devmic	DevMic is an Integrated Development Environment (IDE) for Small Device C compiler (SDCC) based on Dev-Cpp. The main aim is to allow programmers to develop software for microcontrollers easily and quickly.
devmos	MOS is an opensource microkernel based , protected mode, operating system written mostly in C and the machine dependent parts in assembly language. It aims to provide a reliable and performant memory management system with a strong api and system calls s
devn-atmel	QNX NIC driver for the ATMEL WLAN Chipsets (AT76C502AR, AT76C502AR_D, AT76C502AR_E and AT76C504)
devnull	A source code editor and project management system for programmers, with syntax highlighting and compiler plugin ability.
devoid	RTS game settled on a post-nuclear Earth
devoliacs	Devolia Control Server is a webmin like for Windows. DCS is build as server with plug-ins for every administration features to make it as flexible as possible.
devolt	Dynamic Enhanced Virtual Open Library Technology (DEVOLT) is intended as a set of building blocks for Web sites from the plain to the grandiose. The purpose is to publish information with dynamic tools that a novice can understand and a pro can extend.
devolution	devolution is a no-hype,no-buzzword content management system designed to make plain text websites easy to read, simple to administer and visually attractive while keeping features to a minimal ensuring that devolution does one thing and does it well
devolution-rpg	Un moteur de RPG en 3D ?volutif multi-plateformes bas? sur le moteur OpenSource Crystal Space
devon	PROJECT TEMPORARILY SUSPENDED
devoroclassik	Devoro Classik is a free MORPG (Multiplayer Online Roleplaying Game) currently in Alpha 1.4.\nWe seek to bring back the classic version of a game for old and new users alike.
devosc	The devosc project is intended as a general PHP website application. It is built utilizing core components of osCommerce GNU GPL code and provides a means for general websites and applications development.
devote	DEVOTE(Democratic Electronic Voting Over Totally Encrypted Systems), is an open-source project bent on making an e-voting system that can be used for any purpose. We are using C++ and the wxWidgets library. Look to our website for more information(Soon).
devoybb	DevoyBB is a new forum system on its very first release.  We are working very hard to make a new, more stable board for the system.  We are a free forum system for everyone.  http://www.devoybb.com
devpache	DevPache is a small portable package for locally or small-time server testing of web applications and websites, this package creates a quick way to test websites and requires no configuration of advanced services or anything.
devpack	A package that helps the common user to better develop their mindset towards web design and programming. The programming is set towards web design based meaning programming will be structured for web design and not windows applications.
devpanel	XML based configuration framework for UNIX based operating systems. Abstracts servers and provides a web/console/gui based system management. Currently supports PgSQL, MySQL, Apache, Qmail, Postfix, Sendmail, vsftpd, PureFTPD, system quotas etc...
devpg-wordpress	just a modification of wordpress
devphp	Dev-PHP is a well-featured IDE for PHP. Fast and powerful, it is easy to use and has a lot of cool features : class browser, scripts preview, integration with PHP parsers, PHP-GTK library, and Xdebug of course. Dev-PHP-usb slips even into your pocket.
devproject	A simple, lightweight project manager for software developers to help organize tasks, bugs, notes, ideas, and project members. It will include a combination of the best features from other information managers.
devproxy	Being deleted soon (when i can find the button)
devreftools	A set of Linux commands that will provide useful information to a developer.  Ever need an ASCII table but couldn&#039;t find one?  The source code will be loaded with comments so that one may learn the basics of C/C++ programming from these tools.
devreport	devReport is a bug tracking system to evaluate software maturity &amp; stability. It could evolve to a more general (software) project manager. New idea are welcome
devrscc	Library for ASP.Net which helps developers writing highly interactive web pages with out-of-band communication with the server (or OOB, ie without full page postback).
devs-csharp-sim	Modeling and Simulation or Real-time Execution of Discrete Event System Specification (DEVS) that is invented by Dr. Zeigler who is a professor of ECE Dept., of the University of Arizona. Implementatation is done in Microsoft C-# langauges.
devs-sbml	DEVS combined with SBML project. Support by ACIMS(www.acims.arizona.edu).
devshaka	Please see the main &#039;Jahshakafx&#039; or &#039;Jahshaka&#039; projects for the current codebase. This project is not in use.
devshot	A tool for creating/restoring MSSQL2005 database snapshots for project developing processes from Visual Studio.NET 2005
devsite	A web-based project management and development environment written in PHP. Provides a means for developers of a single project or many projects; big projects or small projects to manage the difficulties of keeping in touch and up to date.
devsml	DEVSML is a novel way of writing DEVS models in XML language. This DEVSML is built on JAVAML, which is infact, XML implementation of JAVA. It is an attempt to provide interoperability between various DEVS models and create dynamic scenarios.
devspace	DevSpace CMS
devstack	Devstack is an MVC web development framework for Perl that makes it easy to create an Intranet application by providing widgets for lists, views, creates and edits of database records.
devteams	DevTeams is a web-based project management system designed primarily, but not exclusively, for developement teams that need to coordinate many projects with different clients. It is built on on top of emerging Zend Framework.
devtimetracker	DevTimeTracker is a java/SWT desktop application, to keep track of working time based on events, task and workflows. It will support reporting and filtering capabilities.
devtodo	devtodo is a program to assist developers (or anybody who uses a terminal) in maintaining a list of outstanding tasks in a hierarchical, prioritised, list. Additionally, it can automatically list outstanding items when you change into a directory.
devtools	The DevTools project is an open-source (BSD-licensed) set of development tools, including a set of shared gmake-style utility makefiles, the TLM version-control wrapper, and various other little utility C++ programs and Perl and Python scripts.
devtrack-p	Development of a personal memoire in software versioning format.
devtraq	DevTraq is a totally module based and database system independent tool to manage any (software) project
devware	DevWare is an Developer Groupware,with Calender, E-Mail, Chat, Todo&#039;s, integrated CVS / SVN, own Version Control, Documentation System, Redactionell System. It&#039;s written in Java, the Server runs on Jboss, Rich Client is Eclipse.
devweb	Dev Web is a php-based web programming interface designed for students learning how to program. Dev Web allows instructors to post labratory notes and data files necessary to complete a lab project onto the website; then student users with a username and
devwshop	An IDE for developing native Windows 32-bit applications in C and C++. The binary release includes the MinGW32 compiler and build tools.
devyahoo	A PHP wrapper which helps to intract with Yahoo Developer API. User can use Yahoo API in your site by providing very less Parameters
dewantara	Dewantara is an open source school information system.
dewdrop	From the XML definition of your database, DewDrop will generate clean and human-readable SQL DDL code for any supported target database.  This means you can define your database just once in XML, and have it work for any database automatically.
dewmap	DEWMap aims to build a dynamic, modular, open mapping system geared towards (but not exclusively for) pen / paper and computer role playing games.
dewnew-phplinks	DEW-NEWPhpLinks is a branch based on phplinks v2.1.3 It retains its features and adds a recipricol link checker to the admin panel. Check out the forums &amp;amp; download the latest version @ our new home http://www.dew-code.com
dewtracker2d	DewTracker 2D, written in C#, records the amount of Mountain Dew that you drink.  It can be skinned to display the stats for any substance.
dex	DeX is a Java file Explorer.
dex-os	The DEX Operating system allows for the dynamic reconfiguration and customization of various system services using concepts found in extensible operating systems. The ultimate goal of this operating system is to achieve zero static inter-module calls.
dex-tracker	tracker interface for csound. Currently in beta with a working sco editor, text editor, online help. Cabel is also included. May provide support for vst, dxi in the future. Csound routines is also available by itself currently only for python
dex2	DeX? is an open-source XML Client written specifically for www.NLDelphi.com. It tracks any new messages on the forums, and in the future might track other things, depending on the server implementations.
dexearch	Dexearch is an index driven desktop search engine toolset for Linux based systems. It has support for text search within a variety of file formats like MS Office documents, pdf, ps, OpenOffice.org documents, etc.
dexianet	DexiaNET is a little tool for the Belgian netbanking system of Dexia. It allows a user to manage multiple accounts while saving the RSA identity keys pair on the hard drive. The official software allows to do that only with floppies...
dexoffline	DexOffline is the offline version of DexOnline (http://www.dexonline.ro). It is most useful to those who do not have a permanent internet connection.
dextar	A basic console script backup systems without X. Rather than remembering the perplexing tar options, this will use a .conf file, and prompt the user for information. USER BEWARE!!! This was mostly designed for me to practice my bash skills
dexter	Dexter is a little java program to interactively or semi-automatically extract data from scanned graphs.  In its applet incarnation it is used by the Astrophysics Data System.  A rudimenary standalone version is provided as well.
dexter-js	Command line [Documentation EXTRactor] for JavaScript files. Parses source js files and extracts tags and comments into a js object which can be decorated for different file outputs.
dexterim	DexterIM is a customizable and extendible Instant Messaging framework written in Java. Currently only msn Protocol is supported.
dexterous	A web server with SCTP(Stream Control Transmission Protocol) support
dexterquad	Dexter Quad is a 2D top-down scrolling game written in C++/SDL
dextimer	Simple GTK timer/stopwatch app written in C using Glade.
dexux	Dexux allows a DexDrive, a Playstation memory card reader, to be used under Linux.  We expect that mostly full functionality exists, but that it can be hard to use for end users.  This project has been abandoned; please pick it up!
df-gp	The aim of this project is to use the TV-screen as a central point of information. Mainly it supports watching TV and movies. But modules for web-browsing and eMail reading are planned.
df-studio	DemoForge Studio allows to create animated demos or tutorials easily by recording computer&#039;s desktop activity, including all mouse movements, window graphics, mouse clicks, etc.
df2	Dynamic Flash Forum (DF2) will be the next revolutionary forum program for web designers to use on their site.  The forum will run through Flash and has a PHP/mySQL backbone.
dfa-learner	The project implements Dana Angluin&#039;s learning algorithm with intent to look into the possibility of computational learning of changing (shifting) information.
dfachat	Free Instant Mesagging and Chat client / server
dfandango	A turn based, multiplayer drug trading game, aiming to provide nonstop entertainment even in a turn based environment! Similar in concept to DopeWars, but with much, much more!
dfast	wxDownload Fast is a multi-platform download manager. It downloads faster by getting segments from multiple locations at the same time. It was created in C++ using the wxWidgets [wxWindows] library.
dfbb	OS Independent (Written in an interpreted language)
dfbcar	DFBCar is a linux lightweight embedded directfb program written in C and geared towards use in a car on small lcd screens.  This system uses xine-lib for media playback and DirectFB library for the gui and video output.
dfc	DFC - DObject Foundation Class Library is a C++ Java-like class library, compatible with java2cpp (Java to C++ source translator). Features: Runtime Type Information, multithreading, Graphical User Interface, JDBC-like SQL interface
dfcode	A collection of source code for manipulating the various file formats (images, maps, sounds, models, etc...) used by The Elder Scrolls: Daggerfall, an old, but still popular CRPG.
dfd	Template library that represent abstract user interface controls and document-view interaction model.
dfdaemon	Web statistics for IL-2 server
dfdcart	DFD Cart is a wholesale distributor&#039;s ordering system, designed to handle hundreds of products in a simple yet feature-rich and easy-to-use interface (within multiple categories soon). Microsoft or Open Office can import and export products with eas
dfdedit	DFDEdit is a platform independent GUI based tool to assist users in drawing, editing, saving and validating the data flow of multi level DFDs.
dfeed	DFeed is a utility for BotNET which will allow you to display live information from Diablo 2 into an IRC channel. DFeed is written in C# and requires that you have the .NET Framework 1.1 installed and BotNET.
dfem	Parallel and sequential object oriented finite element code
dfforum	DarkflameForum is a free open-source forum for use by anyone. It is the free version of the www.linuxquestions.org forum. It uses PHP and MySQL.
dfilter	Digital filter simulation
dfircd	DarkFire IRCd is a modern, efficient, and reliable IRC server for use on medium sized networks. Features a faster protocol, new user and channel modes, powerful operator commands, and a revolutionary authentication method.
dfire	DragonFire is a compilation of various mathamatical formulas and theorms from algebra (and soon, Calculus). It shows users the formula for them to learn/use, or lets them enter data for DragonFire to compute.
dfk	DFK: Duplicate File Killer will search a user specified directory/drive for duplicate files of any kind.  It will eventually utilize image recognition for image comparison, audio matching algorhythms for sound file matching and CRC/MD5 hash testing.
dflow	A component-based, object-oriented workflow system designed to allow workflows to be defined using XML or database records and implemented using PHP objects. New workflow actions may be developed and dropped into the system with no overhead.
dfm05	dfm - very simple soccer management game for the german 1.Bundesliga.
dfm2java	Converter of Delphi forms (dfm files) to Java classes.
dfmedit	edit Delphi Form files (DFM); Supporting Text and binary forms; Preview can handle unknown controls/properties; betas: http://www.fw-web.de/dfmedit_beta.php
dfmods	Open Source DragonflyCMS projects done by DFMods.com
dfmtopas	DFM To Pascal is a GPL (Delphi source for a while) application used to port source code from Delphi to Free Pascal Compiler using the Lazarus libs.  DFMToPas read a list of DFM files and create 4 pascal files for each DFM file. Example, DFMToPas read MyF
dfo	Web based data handling applications from database administration to point of sale registration.
dforce	dforce sites! is a CMS (website&#039;s content manager) based on pure php code, with no need for any database. 2.0 version now supports plugins and styles and features the M.A.L. magic autoconfiguration lines for running anyhow, everywhere. And easily!
dfoto	A photo gallery engine.
dfp	Decimal floating point library in Java. Provides decimal floating point math for Java via a clean, easy to understand implementation. Much easier to use than Big Decimal, nearly IEEE-854 compliant. Compatible with J2ME, so it can be used on PDAs/phones
dfreader	This is a component pack for manipulation of scanned images of documents - recognition, vectoring, storing in DB etc.
dfriends	A social network site.
dfs	DFS is a fully distributed file system providing the accessibility of a network file system, the speed of a local hard drive, the redundancy of a mirror, and the scalability of a RAID.
dfshell	dfShell a graphical alternative to text based shells. It launches and manages processes, process groups, unix pipelines. Intended to be paired with a database that describes the inputs/outputs/parameters/options for all shell based programs.
dfslink	The dfslink command line tool help&#039;s to add a lot of links to a Microsoft DFS structure in one fell swoop.
dfsm	The Distributed Finite State Machine Project (dFSM Project) aims to develop a platform that allows to develop an application composed of some distributed modules, were every module is designed with the finite state machine (FSM) paradigm. The platform al
dfsmt	The following is a script designed to monitor a mission critical web server and perform specific operations if the machine is found to be unreachable.
dfss	This software is to setup a clean new Debian Based OS servers, Such as Ubuntu and Solaris. It sets up everything a server would need to operate. Including, SSH, A HTTP server, FTP and much more!
dfssolution	implementation of a system of distribuidos archives, taking as base the Google File System (GFS)
dfsu	DFSU is an Intrusion Detection Framework capable of unify HIDS (Syscalls) and NIDS (Snort) by using distributed agents. Thanks to its plugin oriented architecture, DFSU is the perfect  environment for developing and testing new detection methods.
dft	dft is a support class or library (depending on language/implementation) to allow dynamic formatting of HTML, data transmissions, print streams or anything else. The system uses templates to separate data views from procedural code.
dftool	Nothing to see here...
dftps	We are building an extention module to ProFTPd server which will support special distributed file system. It will allow users to integrate many unix account into one virtual space and access it via FTP protocol.
dftree	DFTree is a javascript+css folder tree with dynamic node insertion/erasing/alteration and other functionalities. It is also very lightweight and easy to use.
dftt	The Digital Forensic Tool Testing (DFTT) project creates test images for digital forensic acquisition and analysis tools.  These images can be used by a tool developers and owners to test their software.
dfu-programmer	A linux based command-line programmer for Atmel (8051 &amp; AVR) chips with a USB bootloader supporting ISP. This is a mostly Device Firmware Update (DFU) 1.0 compliant user-space application.
dfw	IPTables / FreeS/WAN firewall management utility.
dfwiki	DFWiki is a wiki module designed to work within the moodle LMS environment. It has been designed to take advantadge of wiki features for e-learning, As content creation, and collaborative work projects. Future versions will also work utside moodle.
dfxpanel	Dfxpanel is a support panel that customers may add their error while using server which supported by linux and cpanel. Customers may also show their commercial situation, their profiles and server-news from the customer panel
dgame	DGamE is a Dynamic Game Engine. This is used to create games relatively easy.
dgat	This is a ultimate testing framework wich generates its own input data.
dgav	An antivirus plugin for the content filtering web proxy DansGuardian.
dgbackup	DESSI Gest backup save your DESSI Gest web application easily.
dgbookreview	Based entirely on PHP and MySql this software will allow the upload of book reviews including coments and images. Users will also be able to give a rating for the books
dgc	DGC is a tool for the creation of digital netlists. DGC does an optimization and technology mapping for an abstract description of boolean functions and state machines. Output formats are EDIF, XNF and VHDL. Input formats are KISS, PLA and others.
dgcc	GDC is a GCC front end for the D programming language.
dgcons	dgcons is an add-on for GNU Cons providing toolset support and minimal autoconf-like functionality
dgcshell	Current project: Blaatbot IRC Bot ( cvs module irc )
dgd-lwent	Light-weight entities are an attempt to make DGD&#039;s light-weight objects more attractive as replacements for persistent objects.
dgdasteroids	Dgdasteroids is an asteroids clone played on the pc using directx to render graphics.
dgdiplus	A GDI+ conversion for the D language
dge	DGE is a multithreaded, modern, component based game engine released under a less restrictive license to allow professional developers to use and contribute to the code base.
dgengine	An object-oriented 3D game engine with many features as: shader driven renderer, scene graph, game object management, resource management, input system. The engine is designed with ease of use and flexibility in mind to support different types of games.
dgeom	DGeometry Library - 2D and 3D geometry library, linear transformations, intersections(collision detection). Shapes: vectors, points, matrixes, plane, quaternion, lines, sphere, cylinder, segment. C++ language, high portable realization.
dgep	The Doppelganger Game Engine Project (DGEP) attempts to create a fully featured game engine using a heavily refactored and redesigned Irrlicht 0.7 Codebase. It adds features like sound, networking, physics, scripting etc.
dget	dget is a multi-thread download tool based on linux platform, develop using C++. support FTP, HTTP, MMS, the RTSP protocol. currently mainly support the FTP, HTTP, MMS, RTSP protocol. The Max Thread number limits to 10 for each task .
dgforums	This is the home of the opensource DigiGuide Forums, written in ASP used on http://www.digiguide.com
dggrappa	Dynagraph for Grappa is a Java front-end for the Dynagraph graph layout engines.  It supports direct manipulation (graphical editing) of graphs, as well as text-driven display of dynamic graphs.
dghmux-java	DGHMux-Java is a Java library for multiplexing several streams over one connection such as TCP and SSL.  It allows a developer to create a protocol that can be encrypted with SSL and allows firewall admins to easily allow or reject your protocol.
dgl	DiamondGL - 3D/2D engine based on OpenGL.
dgles	Desktop OpenGL ES is an OpenGL ES 1.1 to desktop OpenGL wrapper. dgles intends to ease development of software that uses OpenGL ES.
dgloganalyser	DansGuardian Log Analyser
dglutillib	C/C++ library with functions and datastructures which come in handy with 3D programming. F.e. it contains a 3Dstudio MAX&#039; ASE importer/compiler, vectormath functions etc. It&#039;s developed as an add-on library for DemoGL, but can be used by any ot
dgm3dengine	The DGM 3D Engine is a Visual Basic Project. The engine can be loaded up as reference file (DLL) in most Visual Studio languages, allthough Visual Basic is adviced.
dgnews	This is PHP News Publishing project, where user can add/remove their news via browser
dgnr	File manager using the GTK library, designed to be used with keyboard.
dgol	Distributed system for searching for the Game Of Life patterns.
dgos	DGoS aims to design and implement methods to ensure that bloggers under DoS attack can be provided alternate, distributed hosting platforms to allow a blogger to continue posting and remain engaged and connected with the blogosphere during an attack.
dgosp	DARKSTARgames is a hobbyist game development project. Our 3D engine EVEN will be published as Open Source together with the game release aimed for 2007. However we already have now software, that may be interesting for the public.
dgp	Disease Gene Profiler (DGP) comprises of a set of (bioinformatics) tools that can be used to identify the genes underlying susceptibility to common multifactorial diseases (such as diabetes, asthma and cancer) using freely available datasources.
dgpctk	Automated build system.  CVS commit / watch / tag notification via email, newsgroup, and/or IRC.  Console-based file manipulation tools and utilities.  XML-based file copy/FTP script.  IRC session logger.  Synchronize web site with CVS.  GPL.  Tested on
dgpf	The Distributed Genetic Programming Framework is a scalable Java genetic programming environment. It comes with an optional specialization for evolving assembler-syntax algorithms. The evolution can be performed in parallel in any computer network.
dgrabows	Virtual Greeting Card System, written in PHP and using MySQL as the backend. This script is written as an addon module for Post Nuke.
dgroups	giFT-Zombie is a NATIVE client written in C++ that connects to the  FastTrack peer-to-peer(Kazaa (TM) / Morpheus (TM)) network using the giFT library.  Ports are planned for Win32 and OSX.  (we used to be halo-kazaa)
dgs	A complete set of tools for guitarsists in different tecnologies: Java, J2ME, PalmOS, Visual Basic
dgsh	Dungeon Shell is a shell for D20 Dungeon Masters. Simple commands allow DM to manage a game session and track characters and monsters statistics. It is written in Java (1.4.0 at least). Data is stored in XML and you can script it with j[p]ython.
dgt2684	A linux kernel patch, which allow QoS in RFC2684-compatible enacpsulation (i.e. ethernet connection over ATM PVC). You can have multiple traffic classes handled by single encapsulated interface, all they can have different QoS parameters.
dgtdrv	dgtdrv aims to be a uci/xboard/crafty compatible interface (input engine) for the DGT Electronic Chess board on POSIX platforms. It relies on the dgtnix library.
dgtnix	This project is a POSIX-compliant driver for the dgt board from dgtprojects. It is intented at acting as a layer between chess engines and the dgt board.
dgtools	Administration tools intended for use on Caldera OpenLinux, some tools will be useable on multiple distributions.  Current tools include Printer Administration, SMB Connection Administration and RPM search and extraction tools.
dguitar	DGuitar is a Guitar Pro (*.GP4,*.GP3,GTP) viewer and player that works under Linux, MacOs, Solaris, BSD, Windows, or any other operating system with Java Runtime 1.4.X. http://DGuitar.sourceforge.net
dgvchannel	Dgvchannel é um driver que permite a utilização das placas DigiVoice com o Asterisk(c). A Digivoice tem uma placa E1 (1 ou 2 spans) e uma placa FXO (4 ou 8 canais) que são suportadas por este channel. Acesse http://www.digivoice.com.br
dgwebminmodule	The DansGuardian Webmin Module is exactly that. A Webmin Module. It will allow you to control DansGuardian from Webmin, and edit the various list files and configuration files. Several features have been added such as a log analyzer and Groups support.
dgwin	Dynagraph for Windows is a graph editor and front-end for the platform-independent Dynagraph graph layout engines.  It consists of the Montage OLE Client-Server library, COM wrappers for Dynagraph, and graph editing components.
dh256	Fast 256 bit hash algorithm and simple command line utility. Also does sha-1 and sha-256.
dhadmin	Do you want to edit your /etc/dhcpd.conf file in simple way? Dhadmin is just for you. At startup it parses /etc/dhcpd.conf and then displays contents using nice text interface. After that you may change contents and save the file.
dhalsnet	WarStrunz: A tool to play WarCraft III lan games over internet with multiple server browsing capabilities. Can create server hosting that will become public to the warstrunz users. ROC, TFT and patches versions supported.
dharma	Check-in, check-out, and history for Visual Source Safe projects from Emacs and the Unix command line.  Another reason never to leave Emacs.
dharma-netcafe	A cross platform (Linux, Win32, Mac OsX) client-server internet cafe system written in RealBasic. Features include timing/billing, client management, membership, point of sale and reports. This project aim to ease administration of an internet cafe.
dharmaproj	Dharma Project: Sistema de Monitores Selectivos de Niveles de Señal
dhash	DHash is a a distributed and fault-tolerant hash table implemented in Python.
dhb-demos	This project aims to implement a PC-based computer graphics demo that is of the graphical calibre we expect to see running in real-time on next generation hardware consoles.
dhbnumerics	Smalltalk numerical analysis codes based on Didier Besset&#039;s &quot;Object-Oriented Implementation of Numerical Methods: An Introduction with Java &amp; Smalltalk&quot;, 2000, Morgan Kaufmann Publishers.
dhbrow	This is an early testing of an IE Firefox hybryd browser
dhcp-agent	dhcp-agent is a UNIX Dynamic Host Configuration Protocol (DHCP) suite that is extendable via Scheme using Guile. The suite currently ships with a beta quality DHCP client and sniffer.
dhcp-dns-server	Combined DHCP/DNS Server. DHCP Server alots host addresses and DNS Server first try resolving from DHCP alotted names then from Cache then only forwarding to External DNS. Relay Agent, PXEBOOT and BOOTP Support, Auto Config and auto Dynamic DNS update.
dhcp-load	Multithreaded DHCP Load Test Client
dhcp4java	Free open-source 100% Java DHCP Server: general purpose DHCP server ranging from a simple LAN server to a wide range WAN server handling millions customers. A general pupose DHCP API is also available as a stand-alone library.
dhcpd-pools	ISC dhcpd pool usage analysis for ISPs etc organizations that has huge dhcp installations.
dhcpdconf	A GTK+ configuration tool for DHCP daemon.
dhcpdman	DHCPDman is a python/pygtk project aimed at providing a single interface for managing a single DHCP server.
dhcpj	A pure Java DHCP library.
dhcpleasesmysql	This dameon allow monitoring of the ISC dhcpd leases, cpe/modems macs address (option 82) and store all datas into mysql database for reference. This script use perl File::Tail module to minimize load.
dhcpmap	dhcpmap offer ability to inject and capture DHCP traffic into your network. This can be valuable in testing protocol. dhcpmap is dependent on libnet 1.1.0+ and libpcap.
dhcpsnooper	DHCP snooper works as DHCP relay, it manipulates the packets so that they contain option82, the options82 data is collected by SNMP from the switches. This allows with ISCH DHCP to distribute IP address based on their physical source.
dhcpsql	This projects implements the RFC2132 and at least RFC3046 as a Dynamic configurable SQL based DHCP server, based on the udhcpd code, extended to mask-and-select by client DHCP packets.
dhcpstatus	DHCPStatus is a query tool for browsing information stored in DHCPD&#039;s .conf and .leases files. It correlates the subnet details in the .conf file with DHCPD&#039;s .lease records. It can be run either as a CGI program, or as a text-based command-lin
dhcptool	This tool is basically a support tool for our embedded ethernet-serial conversors. Basically is a &quot;mini suite&quot; composed of a dhcp server and a GUI to configure it. It runs on windows systems and in Unix systems.
dhcpv6	IP version 6 Dynamic Host Configuration Protocol
dhcpv6-linux	This is the first ever open source implementation of Dynamic Host Configuration Protocol for IPv6 (DHCPv6) server and client on Linux Operating System. The server provides leases (durations or lifetimes) on IPv6 addresses to the clients who request for i
dhcpv6-tr	DHCPv6-TR is the basic implementation of the DHCPv6 protocol in .NET framework. DHCPv6-TR mainly conforms to the following standards: RFC3315, RFC3118 and RFC3646. Secure communication between DHCPv6 Clients and Servers is the main aim of the project.[GD
dhcstockscan1-2	stock and future market scans [screens] for real time alerts for set conditions using candlestick charts and sma crossing  a green candle for a buy  signal and a sma crossing a red candle for a sell signal.
dhis	The District Health Information System (DHIS) provides for data entry, report generation, and analysis. It is part of a larger initiative for health care data in develoing countries, called the Health Information System Programme HISP.
dhl-integration	DHL Integration software which bridges DHL API servers over HTTPS via XML.    The software will allow developers of all skill levels to integrate DHL capabilities into any websites under developed.
dho	D.home.otic aims to produce a stable, scalable and upgradable home-automation system. Based on PIC microcontrollers and USB interface.
dhoomketu	Documentation and Tutorials for OSS in Bangla and English.
dhq	A distributed queue for use on overlay networks.
dhsd	DHSD is a daemon that will periodicly update any dhs.org dyndns records assigned to a network device.
dhsource	The DHSource project is a collection of games made by students from Doherty High School.
dhssim	This is a Simulink model of a district heating substation and a house. This model was developped as a collaboration between the div. of EISLAB at Luleå University of Technology and the dept. of Heat and Power Engeneering at Lund Instute of Technology
dht	DHT is chartered for an open source implementation of the Distributed Hash Table data structure. In this project we explore the latest research in DHT and make a highly configurable implemenation.
dhtfs	A filesystem which allows tagging of files. The file system dynamically generates a directory hierarchy from tags associated with files. This dyanamic hierarchy is very useful in browsing the contents of the file system in an intutive way.
dhtm	A PHP+Javascript+HTML+MySQL web/database application for keeping track of heirarchical information. Could easily be used for representation/management of structured data (outlining, task management, todo&#039;s, etc.)  Currently used as a To Do task mana
dhtml-3d	DHTML3D is a library allowing to display real-time 3D in internet browsers.
dhtml-gui	DHTML GUI Toolkit
dhtmlactivegrid	Create and support new version derived from ActiveWidgets Grid 1.0.2 GPL.
dhtmlcalendar	DHTML Calendar is a collection of HTML, CSS, and JavaScript code that utilizes Mike Foster&#039;s CBE JavaScript library to add a dynamic calendar to any Web page. (Compatible w/ Konqueror, Opera, Mozilla,  Internet Explorer, &amp; Netscape Navigator).
dhtmlconsole	The DHTML Console is a cross-platform development tool for analyzing and debugging DHTML applications.  It provides rich logging capabilities, state inspection, runtime script execution, and can be used with no impact to existing application code.
dhtmldatepicker	The Boring DHTML Date Picker Widget is a robust control for easy selection of dates in your web forms.  It is \\\\\\\\\\\\\\&quot;boring\\\\\\\\\\\\\\&quot; because was developed with usability in mind, instead of coolness. Works in IE 5.X and Mozilla based brows
dhtmldebugger	This Tool is intented to provide an easy debugging way to the browser-side developer. It can exposure the DHMTL model of your HTML document, and you can operate the model directly with it.
dhtmlgrid	DHTMLGrid is a Grid control designed using javascript DOM for displaying data on a webpage. It has all the functionality of a normal windows Grid. Currently it supports IE5+ and NN6+. For a demo of all the functionality visit the demo page.
dhtmllib	The DHTML library is thought as an enahncement to the server side logic processing. Enabling the user to make easy use of complexe DHTML functions which are crossbrowser compatible. Further info: dhtml.bit-heads.ch
dhtmlsudoku	DHTML Sudoku is a flexible, lightweight and easily portable interface for playing Sudoku puzzles developed using DHTML (HTML, CSS and JavaScript).
dhtmlwidgets	dhtmlwidgets is a collection of DHTML Widgets including a calendar style date picker, div popups, an html SELECT combo box dropdown replacement that does not overlap other blocks, and other widgets.  Uses a PHP API (simple function calls)
